id,site_id,grave_number,depth,length,width,construction
3,0,1,16,144,123,A1a
4,0,2,11,142,94,A1a
5,0,3,8,,,A4b
6,0,4,15,240,97,A1a
7,0,5,16,,,Lehmgrube
8,0,6,12,130,60,C3
9,0,7,90,210,128,B1
10,0,8,17,197,102,B3
11,0,9,12,155,85,B1
12,0,10,12,183,98,C1
13,0,11,17,140,93,A1a
14,0,12,17,85,75,A1a?
15,0,13,31,138,88,A1a
16,0,14,14,134,75,A1a
17,0,15,28,151,105,A1a
18,0,16,110,228,139,A7
19,0,17,10,122,82,A4a
20,0,18,14,135,75,A1a
21,0,19,9,164,88,A1a
22,0,20,66,206,135,A2
23,0,21,8,172,82,A3
24,0,22,12,121,88,A1a
25,0,23,12,74,40,A1a
26,0,24,20,195,135,A8
27,0,25,26,160,100,A9
28,0,26,73,200,108,A6
29,0,27,60,213,140,A10
30,0,28,10,160,95,C2
31,0,29,50,269,120,A2
32,0,30,40,164,95,C1
33,0,31,40,195,142,A2
34,0,32,74,203,115,A1a
35,0,33,110,224,132,A5
36,0,34,39,110,80,B2
37,0,35,40,204,100,C1
38,0,36,,,,Pithos
39,0,37,20,,56,A1a
40,0,38,90,50,140,A7
41,0,39,23,141,50,A1a
42,0,40,30,146,65,A1a
43,0,41,44,100,60,A1b
44,0,42,42,100,66,A1a
45,0,43,32,84,70,A1a
46,0,44,35,100,60,D
